0016070 Bypass Cerebral Ventricle to Nasopharynx with Autologous Tissue Substitute, Open Approach
041M4JL Bypass Right Popliteal Artery to Popliteal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
041M4JM Bypass Right Popliteal Artery to Peroneal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
041M4JP Bypass Right Popliteal Artery to Foot Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
041M4JQ Bypass Right Popliteal Artery to Lower Extremity Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
041M4JS Bypass Right Popliteal Artery to Lower Extremity Vein with Synthetic Substitute, Percutaneous Endoscopic Approach
041M4KL Bypass Right Popliteal Artery to Popliteal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041M4KM Bypass Right Popliteal Artery to Peroneal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041M4KP Bypass Right Popliteal Artery to Foot Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041M4KQ Bypass Right Popliteal Artery to Lower Extremity Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041M4KS Bypass Right Popliteal Artery to Lower Extremity Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041M4ZL Bypass Right Popliteal Artery to Popliteal Artery, Percutaneous Endoscopic Approach
041M4ZM Bypass Right Popliteal Artery to Peroneal Artery, Percutaneous Endoscopic Approach
041M4ZP Bypass Right Popliteal Artery to Foot Artery, Percutaneous Endoscopic Approach
041M4ZQ Bypass Right Popliteal Artery to Lower Extremity Artery, Percutaneous Endoscopic Approach
041M4ZS Bypass Right Popliteal Artery to Lower Extremity Vein, Percutaneous Endoscopic Approach
041N09L Bypass Left Popliteal Artery to Popliteal Artery with Autologous Venous Tissue, Open Approach
041N09M Bypass Left Popliteal Artery to Peroneal Artery with Autologous Venous Tissue, Open Approach
041N09P Bypass Left Popliteal Artery to Foot Artery with Autologous Venous Tissue, Open Approach
041N09Q Bypass Left Popliteal Artery to Lower Extremity Artery with Autologous Venous Tissue, Open Approach
041N09S Bypass Left Popliteal Artery to Lower Extremity Vein with Autologous Venous Tissue, Open Approach
041N0AL Bypass Left Popliteal Artery to Popliteal Artery with Autologous Arterial Tissue, Open Approach
041N0AM Bypass Left Popliteal Artery to Peroneal Artery with Autologous Arterial Tissue, Open Approach
041N0AP Bypass Left Popliteal Artery to Foot Artery with Autologous Arterial Tissue, Open Approach
041N0AQ Bypass Left Popliteal Artery to Lower Extremity Artery with Autologous Arterial Tissue, Open Approach
041N0AS Bypass Left Popliteal Artery to Lower Extremity Vein with Autologous Arterial Tissue, Open Approach
041N0JL Bypass Left Popliteal Artery to Popliteal Artery with Synthetic Substitute, Open Approach
041N0JM Bypass Left Popliteal Artery to Peroneal Artery with Synthetic Substitute, Open Approach
041N0JP Bypass Left Popliteal Artery to Foot Artery with Synthetic Substitute, Open Approach
041N0JQ Bypass Left Popliteal Artery to Lower Extremity Artery with Synthetic Substitute, Open Approach
041N0JS Bypass Left Popliteal Artery to Lower Extremity Vein with Synthetic Substitute, Open Approach
041N0KL Bypass Left Popliteal Artery to Popliteal Artery with Nonautologous Tissue Substitute, Open Approach
041N0KM Bypass Left Popliteal Artery to Peroneal Artery with Nonautologous Tissue Substitute, Open Approach
041N0KP Bypass Left Popliteal Artery to Foot Artery with Nonautologous Tissue Substitute, Open Approach
041N0KQ Bypass Left Popliteal Artery to Lower Extremity Artery with Nonautologous Tissue Substitute, Open Approach
041N0KS Bypass Left Popliteal Artery to Lower Extremity Vein with Nonautologous Tissue Substitute, Open Approach
041N0ZL Bypass Left Popliteal Artery to Popliteal Artery, Open Approach
041N0ZM Bypass Left Popliteal Artery to Peroneal Artery, Open Approach
041N0ZP Bypass Left Popliteal Artery to Foot Artery, Open Approach
041N0ZQ Bypass Left Popliteal Artery to Lower Extremity Artery, Open Approach
041N0ZS Bypass Left Popliteal Artery to Lower Extremity Vein, Open Approach
041N49L Bypass Left Popliteal Artery to Popliteal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
041N49M Bypass Left Popliteal Artery to Peroneal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
041N49P Bypass Left Popliteal Artery to Foot Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
041N49Q Bypass Left Popliteal Artery to Lower Extremity Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
041N49S Bypass Left Popliteal Artery to Lower Extremity Vein with Autologous Venous Tissue, Percutaneous Endoscopic Approach
041N4AL Bypass Left Popliteal Artery to Popliteal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
041N4AM Bypass Left Popliteal Artery to Peroneal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
041N4AP Bypass Left Popliteal Artery to Foot Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
041N4AQ Bypass Left Popliteal Artery to Lower Extremity Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
041N4AS Bypass Left Popliteal Artery to Lower Extremity Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
041N4JL Bypass Left Popliteal Artery to Popliteal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
041N4JM Bypass Left Popliteal Artery to Peroneal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
041N4JP Bypass Left Popliteal Artery to Foot Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
041N4JQ Bypass Left Popliteal Artery to Lower Extremity Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
041N4JS Bypass Left Popliteal Artery to Lower Extremity Vein with Synthetic Substitute, Percutaneous Endoscopic Approach
041N4KL Bypass Left Popliteal Artery to Popliteal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041N4KM Bypass Left Popliteal Artery to Peroneal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041N4KP Bypass Left Popliteal Artery to Foot Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041N4KQ Bypass Left Popliteal Artery to Lower Extremity Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041N4KS Bypass Left Popliteal Artery to Lower Extremity Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041N4ZL Bypass Left Popliteal Artery to Popliteal Artery, Percutaneous Endoscopic Approach
041N4ZM Bypass Left Popliteal Artery to Peroneal Artery, Percutaneous Endoscopic Approach
041N4ZP Bypass Left Popliteal Artery to Foot Artery, Percutaneous Endoscopic Approach
041N4ZQ Bypass Left Popliteal Artery to Lower Extremity Artery, Percutaneous Endoscopic Approach
041N4ZS Bypass Left Popliteal Artery to Lower Extremity Vein, Percutaneous Endoscopic Approach
041T09P Bypass Right Peroneal Artery to Foot Artery with Autologous Venous Tissue, Open Approach
041T09Q Bypass Right Peroneal Artery to Lower Extremity Artery with Autologous Venous Tissue, Open Approach
041T09S Bypass Right Peroneal Artery to Lower Extremity Vein with Autologous Venous Tissue, Open Approach
041T0AP Bypass Right Peroneal Artery to Foot Artery with Autologous Arterial Tissue, Open Approach
041T0AQ Bypass Right Peroneal Artery to Lower Extremity Artery with Autologous Arterial Tissue, Open Approach
041T0AS Bypass Right Peroneal Artery to Lower Extremity Vein with Autologous Arterial Tissue, Open Approach
041T0JP Bypass Right Peroneal Artery to Foot Artery with Synthetic Substitute, Open Approach
041T0JQ Bypass Right Peroneal Artery to Lower Extremity Artery with Synthetic Substitute, Open Approach
041T0JS Bypass Right Peroneal Artery to Lower Extremity Vein with Synthetic Substitute, Open Approach
041T0KP Bypass Right Peroneal Artery to Foot Artery with Nonautologous Tissue Substitute, Open Approach
041T0KQ Bypass Right Peroneal Artery to Lower Extremity Artery with Nonautologous Tissue Substitute, Open Approach
041T0KS Bypass Right Peroneal Artery to Lower Extremity Vein with Nonautologous Tissue Substitute, Open Approach
041T0ZP Bypass Right Peroneal Artery to Foot Artery, Open Approach
041T0ZQ Bypass Right Peroneal Artery to Lower Extremity Artery, Open Approach
041T0ZS Bypass Right Peroneal Artery to Lower Extremity Vein, Open Approach
041T49P Bypass Right Peroneal Artery to Foot Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
041T49Q Bypass Right Peroneal Artery to Lower Extremity Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
041T49S Bypass Right Peroneal Artery to Lower Extremity Vein with Autologous Venous Tissue, Percutaneous Endoscopic Approach
041T4AP Bypass Right Peroneal Artery to Foot Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
041T4AQ Bypass Right Peroneal Artery to Lower Extremity Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
041T4AS Bypass Right Peroneal Artery to Lower Extremity Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
041T4JP Bypass Right Peroneal Artery to Foot Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
041T4JQ Bypass Right Peroneal Artery to Lower Extremity Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
041T4JS Bypass Right Peroneal Artery to Lower Extremity Vein with Synthetic Substitute, Percutaneous Endoscopic Approach
041T4KP Bypass Right Peroneal Artery to Foot Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041T4KQ Bypass Right Peroneal Artery to Lower Extremity Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041T4KS Bypass Right Peroneal Artery to Lower Extremity Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041T4ZP Bypass Right Peroneal Artery to Foot Artery, Percutaneous Endoscopic Approach
041T4ZQ Bypass Right Peroneal Artery to Lower Extremity Artery, Percutaneous Endoscopic Approach
041T4ZS Bypass Right Peroneal Artery to Lower Extremity Vein, Percutaneous Endoscopic Approach
041U09P Bypass Left Peroneal Artery to Foot Artery with Autologous Venous Tissue, Open Approach
041U09Q Bypass Left Peroneal Artery to Lower Extremity Artery with Autologous Venous Tissue, Open Approach
041U09S Bypass Left Peroneal Artery to Lower Extremity Vein with Autologous Venous Tissue, Open Approach
041U0AP Bypass Left Peroneal Artery to Foot Artery with Autologous Arterial Tissue, Open Approach
041U0AQ Bypass Left Peroneal Artery to Lower Extremity Artery with Autologous Arterial Tissue, Open Approach
041U0AS Bypass Left Peroneal Artery to Lower Extremity Vein with Autologous Arterial Tissue, Open Approach
041U0JP Bypass Left Peroneal Artery to Foot Artery with Synthetic Substitute, Open Approach
041U0JQ Bypass Left Peroneal Artery to Lower Extremity Artery with Synthetic Substitute, Open Approach
041U0JS Bypass Left Peroneal Artery to Lower Extremity Vein with Synthetic Substitute, Open Approach
041U0KP Bypass Left Peroneal Artery to Foot Artery with Nonautologous Tissue Substitute, Open Approach
041U0KQ Bypass Left Peroneal Artery to Lower Extremity Artery with Nonautologous Tissue Substitute, Open Approach
041U0KS Bypass Left Peroneal Artery to Lower Extremity Vein with Nonautologous Tissue Substitute, Open Approach
041U0ZP Bypass Left Peroneal Artery to Foot Artery, Open Approach
041U0ZQ Bypass Left Peroneal Artery to Lower Extremity Artery, Open Approach
041U0ZS Bypass Left Peroneal Artery to Lower Extremity Vein, Open Approach
041U49P Bypass Left Peroneal Artery to Foot Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
041U49Q Bypass Left Peroneal Artery to Lower Extremity Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
041U49S Bypass Left Peroneal Artery to Lower Extremity Vein with Autologous Venous Tissue, Percutaneous Endoscopic Approach
041U4AP Bypass Left Peroneal Artery to Foot Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
041U4AQ Bypass Left Peroneal Artery to Lower Extremity Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
041U4AS Bypass Left Peroneal Artery to Lower Extremity Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
041U4JP Bypass Left Peroneal Artery to Foot Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
041U4JQ Bypass Left Peroneal Artery to Lower Extremity Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
041U4JS Bypass Left Peroneal Artery to Lower Extremity Vein with Synthetic Substitute, Percutaneous Endoscopic Approach
041U4KP Bypass Left Peroneal Artery to Foot Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041U4KQ Bypass Left Peroneal Artery to Lower Extremity Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041U4KS Bypass Left Peroneal Artery to Lower Extremity Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041U4ZP Bypass Left Peroneal Artery to Foot Artery, Percutaneous Endoscopic Approach
041U4ZQ Bypass Left Peroneal Artery to Lower Extremity Artery, Percutaneous Endoscopic Approach
041U4ZS Bypass Left Peroneal Artery to Lower Extremity Vein, Percutaneous Endoscopic Approach
041V09P Bypass Right Foot Artery to Foot Artery with Autologous Venous Tissue, Open Approach
041V09Q Bypass Right Foot Artery to Lower Extremity Artery with Autologous Venous Tissue, Open Approach
041V09S Bypass Right Foot Artery to Lower Extremity Vein with Autologous Venous Tissue, Open Approach
041V0AP Bypass Right Foot Artery to Foot Artery with Autologous Arterial Tissue, Open Approach
041V0AQ Bypass Right Foot Artery to Lower Extremity Artery with Autologous Arterial Tissue, Open Approach
041V0AS Bypass Right Foot Artery to Lower Extremity Vein with Autologous Arterial Tissue, Open Approach
041V0JP Bypass Right Foot Artery to Foot Artery with Synthetic Substitute, Open Approach
041V0JQ Bypass Right Foot Artery to Lower Extremity Artery with Synthetic Substitute, Open Approach
041V0JS Bypass Right Foot Artery to Lower Extremity Vein with Synthetic Substitute, Open Approach
041V0KP Bypass Right Foot Artery to Foot Artery with Nonautologous Tissue Substitute, Open Approach
041V0KQ Bypass Right Foot Artery to Lower Extremity Artery with Nonautologous Tissue Substitute, Open Approach
041V0KS Bypass Right Foot Artery to Lower Extremity Vein with Nonautologous Tissue Substitute, Open Approach
041V0ZP Bypass Right Foot Artery to Foot Artery, Open Approach
041V0ZQ Bypass Right Foot Artery to Lower Extremity Artery, Open Approach
041V0ZS Bypass Right Foot Artery to Lower Extremity Vein, Open Approach
041V49P Bypass Right Foot Artery to Foot Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
041V49Q Bypass Right Foot Artery to Lower Extremity Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
041V49S Bypass Right Foot Artery to Lower Extremity Vein with Autologous Venous Tissue, Percutaneous Endoscopic Approach
041V4AP Bypass Right Foot Artery to Foot Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
041V4AQ Bypass Right Foot Artery to Lower Extremity Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
041V4AS Bypass Right Foot Artery to Lower Extremity Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
041V4JP Bypass Right Foot Artery to Foot Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
041V4JQ Bypass Right Foot Artery to Lower Extremity Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
041V4JS Bypass Right Foot Artery to Lower Extremity Vein with Synthetic Substitute, Percutaneous Endoscopic Approach
041V4KP Bypass Right Foot Artery to Foot Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041V4KQ Bypass Right Foot Artery to Lower Extremity Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041V4KS Bypass Right Foot Artery to Lower Extremity Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041V4ZP Bypass Right Foot Artery to Foot Artery, Percutaneous Endoscopic Approach
041V4ZQ Bypass Right Foot Artery to Lower Extremity Artery, Percutaneous Endoscopic Approach
041V4ZS Bypass Right Foot Artery to Lower Extremity Vein, Percutaneous Endoscopic Approach
041W09P Bypass Left Foot Artery to Foot Artery with Autologous Venous Tissue, Open Approach
041W09Q Bypass Left Foot Artery to Lower Extremity Artery with Autologous Venous Tissue, Open Approach
041W09S Bypass Left Foot Artery to Lower Extremity Vein with Autologous Venous Tissue, Open Approach
041W0AP Bypass Left Foot Artery to Foot Artery with Autologous Arterial Tissue, Open Approach
041W0AQ Bypass Left Foot Artery to Lower Extremity Artery with Autologous Arterial Tissue, Open Approach
041W0AS Bypass Left Foot Artery to Lower Extremity Vein with Autologous Arterial Tissue, Open Approach
041W0JP Bypass Left Foot Artery to Foot Artery with Synthetic Substitute, Open Approach
041W0JQ Bypass Left Foot Artery to Lower Extremity Artery with Synthetic Substitute, Open Approach
041W0JS Bypass Left Foot Artery to Lower Extremity Vein with Synthetic Substitute, Open Approach
041W0KP Bypass Left Foot Artery to Foot Artery with Nonautologous Tissue Substitute, Open Approach
041W0KQ Bypass Left Foot Artery to Lower Extremity Artery with Nonautologous Tissue Substitute, Open Approach
041W0KS Bypass Left Foot Artery to Lower Extremity Vein with Nonautologous Tissue Substitute, Open Approach
041W0ZP Bypass Left Foot Artery to Foot Artery, Open Approach
041W0ZQ Bypass Left Foot Artery to Lower Extremity Artery, Open Approach
041W0ZS Bypass Left Foot Artery to Lower Extremity Vein, Open Approach
041W49P Bypass Left Foot Artery to Foot Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
041W49Q Bypass Left Foot Artery to Lower Extremity Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
041W49S Bypass Left Foot Artery to Lower Extremity Vein with Autologous Venous Tissue, Percutaneous Endoscopic Approach
041W4AP Bypass Left Foot Artery to Foot Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
041W4AQ Bypass Left Foot Artery to Lower Extremity Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
041W4AS Bypass Left Foot Artery to Lower Extremity Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
041W4JP Bypass Left Foot Artery to Foot Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
041W4JQ Bypass Left Foot Artery to Lower Extremity Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
041W4JS Bypass Left Foot Artery to Lower Extremity Vein with Synthetic Substitute, Percutaneous Endoscopic Approach
041W4KP Bypass Left Foot Artery to Foot Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041W4KQ Bypass Left Foot Artery to Lower Extremity Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041W4KS Bypass Left Foot Artery to Lower Extremity Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
041W4ZP Bypass Left Foot Artery to Foot Artery, Percutaneous Endoscopic Approach
041W4ZQ Bypass Left Foot Artery to Lower Extremity Artery, Percutaneous Endoscopic Approach
041W4ZS Bypass Left Foot Artery to Lower Extremity Vein, Percutaneous Endoscopic Approach
04500ZZ Destruction of Abdominal Aorta, Open Approach
04503ZZ Destruction of Abdominal Aorta, Percutaneous Approach
04504ZZ Destruction of Abdominal Aorta, Percutaneous Endoscopic Approach
04510ZZ Destruction of Celiac Artery, Open Approach
04513ZZ Destruction of Celiac Artery, Percutaneous Approach
04514ZZ Destruction of Celiac Artery, Percutaneous Endoscopic Approach
04520ZZ Destruction of Gastric Artery, Open Approach
04523ZZ Destruction of Gastric Artery, Percutaneous Approach
04524ZZ Destruction of Gastric Artery, Percutaneous Endoscopic Approach
04530ZZ Destruction of Hepatic Artery, Open Approach
04533ZZ Destruction of Hepatic Artery, Percutaneous Approach
04534ZZ Destruction of Hepatic Artery, Percutaneous Endoscopic Approach
04540ZZ Destruction of Splenic Artery, Open Approach
04543ZZ Destruction of Splenic Artery, Percutaneous Approach
04544ZZ Destruction of Splenic Artery, Percutaneous Endoscopic Approach
04550ZZ Destruction of Superior Mesenteric Artery, Open Approach
04553ZZ Destruction of Superior Mesenteric Artery, Percutaneous Approach
04554ZZ Destruction of Superior Mesenteric Artery, Percutaneous Endoscopic Approach
04560ZZ Destruction of Right Colic Artery, Open Approach
04563ZZ Destruction of Right Colic Artery, Percutaneous Approach
04564ZZ Destruction of Right Colic Artery, Percutaneous Endoscopic Approach
04570ZZ Destruction of Left Colic Artery, Open Approach
04573ZZ Destruction of Left Colic Artery, Percutaneous Approach
04574ZZ Destruction of Left Colic Artery, Percutaneous Endoscopic Approach
04580ZZ Destruction of Middle Colic Artery, Open Approach
04583ZZ Destruction of Middle Colic Artery, Percutaneous Approach
04584ZZ Destruction of Middle Colic Artery, Percutaneous Endoscopic Approach
04590ZZ Destruction of Right Renal Artery, Open Approach
04593ZZ Destruction of Right Renal Artery, Percutaneous Approach
04594ZZ Destruction of Right Renal Artery, Percutaneous Endoscopic Approach
045A0ZZ Destruction of Left Renal Artery, Open Approach
045A3ZZ Destruction of Left Renal Artery, Percutaneous Approach
045A4ZZ Destruction of Left Renal Artery, Percutaneous Endoscopic Approach
045B0ZZ Destruction of Inferior Mesenteric Artery, Open Approach
045B3ZZ Destruction of Inferior Mesenteric Artery, Percutaneous Approach
045B4ZZ Destruction of Inferior Mesenteric Artery, Percutaneous Endoscopic Approach
045C0ZZ Destruction of Right Common Iliac Artery, Open Approach
045C3ZZ Destruction of Right Common Iliac Artery, Percutaneous Approach
045C4ZZ Destruction of Right Common Iliac Artery, Percutaneous Endoscopic Approach
045D0ZZ Destruction of Left Common Iliac Artery, Open Approach
045D3ZZ Destruction of Left Common Iliac Artery, Percutaneous Approach
045D4ZZ Destruction of Left Common Iliac Artery, Percutaneous Endoscopic Approach
045E0ZZ Destruction of Right Internal Iliac Artery, Open Approach
045E3ZZ Destruction of Right Internal Iliac Artery, Percutaneous Approach
045E4ZZ Destruction of Right Internal Iliac Artery, Percutaneous Endoscopic Approach
045F0ZZ Destruction of Left Internal Iliac Artery, Open Approach
045F3ZZ Destruction of Left Internal Iliac Artery, Percutaneous Approach
045F4ZZ Destruction of Left Internal Iliac Artery, Percutaneous Endoscopic Approach
045H0ZZ Destruction of Right External Iliac Artery, Open Approach
045H3ZZ Destruction of Right External Iliac Artery, Percutaneous Approach
045H4ZZ Destruction of Right External Iliac Artery, Percutaneous Endoscopic Approach
045J0ZZ Destruction of Left External Iliac Artery, Open Approach
045J3ZZ Destruction of Left External Iliac Artery, Percutaneous Approach
045J4ZZ Destruction of Left External Iliac Artery, Percutaneous Endoscopic Approach
045K0ZZ Destruction of Right Femoral Artery, Open Approach
045K3ZZ Destruction of Right Femoral Artery, Percutaneous Approach
045K4ZZ Destruction of Right Femoral Artery, Percutaneous Endoscopic Approach
045L0ZZ Destruction of Left Femoral Artery, Open Approach
045L3ZZ Destruction of Left Femoral Artery, Percutaneous Approach
045L4ZZ Destruction of Left Femoral Artery, Percutaneous Endoscopic Approach
045M0ZZ Destruction of Right Popliteal Artery, Open Approach
045M3ZZ Destruction of Right Popliteal Artery, Percutaneous Approach
045M4ZZ Destruction of Right Popliteal Artery, Percutaneous Endoscopic Approach
045N0ZZ Destruction of Left Popliteal Artery, Open Approach
045N3ZZ Destruction of Left Popliteal Artery, Percutaneous Approach
045N4ZZ Destruction of Left Popliteal Artery, Percutaneous Endoscopic Approach
045P0ZZ Destruction of Right Anterior Tibial Artery, Open Approach
045P3ZZ Destruction of Right Anterior Tibial Artery, Percutaneous Approach
045P4ZZ Destruction of Right Anterior Tibial Artery, Percutaneous Endoscopic Approach
045Q0ZZ Destruction of Left Anterior Tibial Artery, Open Approach
045Q3ZZ Destruction of Left Anterior Tibial Artery, Percutaneous Approach
045Q4ZZ Destruction of Left Anterior Tibial Artery, Percutaneous Endoscopic Approach
045R0ZZ Destruction of Right Posterior Tibial Artery, Open Approach
045R3ZZ Destruction of Right Posterior Tibial Artery, Percutaneous Approach
045R4ZZ Destruction of Right Posterior Tibial Artery, Percutaneous Endoscopic Approach
045S0ZZ Destruction of Left Posterior Tibial Artery, Open Approach
045S3ZZ Destruction of Left Posterior Tibial Artery, Percutaneous Approach
045S4ZZ Destruction of Left Posterior Tibial Artery, Percutaneous Endoscopic Approach
045T0ZZ Destruction of Right Peroneal Artery, Open Approach
045T3ZZ Destruction of Right Peroneal Artery, Percutaneous Approach
045T4ZZ Destruction of Right Peroneal Artery, Percutaneous Endoscopic Approach
045U0ZZ Destruction of Left Peroneal Artery, Open Approach
045U3ZZ Destruction of Left Peroneal Artery, Percutaneous Approach
045U4ZZ Destruction of Left Peroneal Artery, Percutaneous Endoscopic Approach
045V0ZZ Destruction of Right Foot Artery, Open Approach
045V3ZZ Destruction of Right Foot Artery, Percutaneous Approach
045V4ZZ Destruction of Right Foot Artery, Percutaneous Endoscopic Approach
045W0ZZ Destruction of Left Foot Artery, Open Approach
045W3ZZ Destruction of Left Foot Artery, Percutaneous Approach
045W4ZZ Destruction of Left Foot Artery, Percutaneous Endoscopic Approach
045Y0ZZ Destruction of Lower Artery, Open Approach
045Y3ZZ Destruction of Lower Artery, Percutaneous Approach
045Y4ZZ Destruction of Lower Artery, Percutaneous Endoscopic Approach
0470041 Dilation of Abdominal Aorta with Drug-eluting Intraluminal Device, using Drug-Coated Balloon, Open Approach
0470046 Dilation of Abdominal Aorta, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
047004Z Dilation of Abdominal Aorta with Drug-eluting Intraluminal Device, Open Approach
0470056 Dilation of Abdominal Aorta, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
047005Z Dilation of Abdominal Aorta with Two Drug-eluting Intraluminal Devices, Open Approach
0470066 Dilation of Abdominal Aorta, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
047006Z Dilation of Abdominal Aorta with Three Drug-eluting Intraluminal Devices, Open Approach
0470076 Dilation of Abdominal Aorta, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
047007Z Dilation of Abdominal Aorta with Four or More Drug-eluting Intraluminal Devices, Open Approach
04700D1 Dilation of Abdominal Aorta with Intraluminal Device, using Drug-Coated Balloon, Open Approach
04700D6 Dilation of Abdominal Aorta, Bifurcation, with Intraluminal Device, Open Approach
04700DZ Dilation of Abdominal Aorta with Intraluminal Device, Open Approach
04700E6 Dilation of Abdominal Aorta, Bifurcation, with Two Intraluminal Devices, Open Approach
04700EZ Dilation of Abdominal Aorta with Two Intraluminal Devices, Open Approach
04700F6 Dilation of Abdominal Aorta, Bifurcation, with Three Intraluminal Devices, Open Approach
04700FZ Dilation of Abdominal Aorta with Three Intraluminal Devices, Open Approach
04700G6 Dilation of Abdominal Aorta, Bifurcation, with Four or More Intraluminal Devices, Open Approach
04700GZ Dilation of Abdominal Aorta with Four or More Intraluminal Devices, Open Approach
04700Z1 Dilation of Abdominal Aorta using Drug-Coated Balloon, Open Approach
04700Z6 Dilation of Abdominal Aorta, Bifurcation, Open Approach
04700ZZ Dilation of Abdominal Aorta, Open Approach
0470341 Dilation of Abdominal Aorta with Drug-eluting Intraluminal Device, using Drug-Coated Balloon, Percutaneous Approach
0470346 Dilation of Abdominal Aorta, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
047034Z Dilation of Abdominal Aorta with Drug-eluting Intraluminal Device, Percutaneous Approach
0470356 Dilation of Abdominal Aorta, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
047035Z Dilation of Abdominal Aorta with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
0470366 Dilation of Abdominal Aorta, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
047036Z Dilation of Abdominal Aorta with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
0470376 Dilation of Abdominal Aorta, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
047037Z Dilation of Abdominal Aorta with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
04703D1 Dilation of Abdominal Aorta with Intraluminal Device, using Drug-Coated Balloon, Percutaneous Approach
04703D6 Dilation of Abdominal Aorta, Bifurcation, with Intraluminal Device, Percutaneous Approach
